case,time_s,n_droplets,droplet_id,d_eq_um,sphericity,deformation,volume_m3,centroid_x_m,centroid_y_m,centroid_z_m,surface_area_m2,min_separation_m,coalescence_events_cumulative,mean_U_m_s,pressure_drop_Pa,n_cells,nx,ny,nz,provenance
phaseforge_channel_3d_coarse,0.02,4,3,422.21832474690825,1.0740965663851967,0.2278126574946553,3.9410310546875005e-11,0.008340572394800318,0.0011250491467745766,0.0010000901442352367,5.214116145405745e-07,0.002621449438354866,0,0.05001921572468868,5.916140610416667,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.02,4,4,434.888695995601,1.1972197097018804,0.07282735005447205,4.306584570312501e-11,0.01086720249771505,0.0017500258535111087,0.0006877736430174851,4.962862618093315e-07,0.002621449438354866,0,0.05001921572468868,5.916140610416667,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.04,3,1,432.4538685645437,1.120208664119829,0.231474336210845,4.234654492187501e-11,0.0041532960191834195,0.0009481245812372809,0.00044467000644468537,5.244819158855029e-07,0.0025641749048932712,1,0.05002366008886027,4.584729825,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.04,3,2,425.14719985200344,1.1037756765497608,0.14978034985376842,4.023616601562501e-11,0.006676239676005682,0.002043538477559033,0.0011961828477101283,5.144553634110279e-07,0.0025641749048932712,1,0.05002366008886027,4.584729825,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.04,3,3,442.39134347077226,1.090700978143223,0.14719713457756334,4.533341992187501e-11,0.009062297711927047,0.0011252284586413571,0.0010001555504913228,5.637121696578811e-07,0.0025641749048932712,1,0.05002366008886027,4.584729825,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.06,3,1,422.09886028003774,1.401753509961136,0.7254305900066931,3.937686718750001e-11,0.004878973683093202,0.0009074002802744077,8.593077753852545e-05,3.993066835901842e-07,0.0023406400344783184,1,0.05001952457242894,4.118674953385416,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.06,3,2,415.4594579394939,1.1595936589855502,0.2107112627773362,3.7547806640625e-11,0.007578348435044553,0.001960084515563154,0.0012070031313465642,4.676288977594242e-07,0.0023406400344783184,1,0.05001952457242894,4.118674953385416,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.06,3,3,423.89405916627294,1.1340670347965167,8.881784197001252e-16,3.9881419921875e-11,0.009755159787778096,0.0011250796826304465,0.000999988555550446,4.9776666191101e-07,0.0023406400344783184,1,0.05001952457242894,4.118674953385416,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.08,3,1,436.2420930775057,1.2803945238616519,0.6330374597844051,4.346916796875001e-11,0.005396803848803753,0.0009351397209785993,0.00011303683546536709,4.669401317263408e-07,0.002128186260605267,1,0.050018206865978805,3.8851253948437505,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.08,3,2,385.197502950864,1.190633405889306,0.3392373826696242,2.99260234375e-11,0.008533522171926034,0.0018917570436057039,0.0012461505336988528,3.9150628241998705e-07,0.002128186260605267,1,0.050018206865978805,3.8851253948437505,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.08,3,3,414.27350952202664,1.161176575027561,1.2212453270876722e-15,3.7227177734375e-11,0.010503489386849063,0.0011250576492308757,0.0010000246093781768,4.643291335899126e-07,0.002128186260605267,1,0.050018206865978805,3.8851253948437505,61440,160,24,16,CFD_3D_MODEL_PREDICTION
